window,timestamp_clock,rf_label,sgd_label,agreement,confidence,cumulative_agreement_pct
131,18:18:14,Wake / Active,Quiet / Rest,False,,69.67
132,18:19:39,Quiet / Rest,Wake / Active,False,,69.11
133,18:20:48,Wake / Active,Wake / Active,True,,69.35
134,18:22:05,Wake / Active,Wake / Active,True,,69.6
135,18:23:18,Quiet / Rest,Quiet / Rest,True,,69.84
136,18:24:44,Wake / Active,Wake / Active,True,,70.08
137,18:26:18,Wake / Active,Wake / Active,True,0.9911,70.31
138,18:27:45,Wake / Active,Wake / Active,True,,70.54
139,18:29:08,Wake / Active,Wake / Active,True,0.9544,70.77
140,18:30:27,Wake / Active,Wake / Active,True,0.9722,70.99
141,18:32:29,Wake / Active,Wake / Active,True,,71.21
142,18:35:41,Wake / Active,Wake / Active,True,0.6667,71.43
143,18:36:55,Wake / Active,Wake / Active,True,,71.64
144,18:38:11,Quiet / Rest,Quiet / Rest,True,,71.85
145,18:39:29,Quiet / Rest,Quiet / Rest,True,0.9778,72.06
146,18:41:03,Quiet / Rest,Quiet / Rest,True,,72.26
147,18:42:23,Possible Sleep,Quiet / Rest,False,,71.74
148,18:43:56,Quiet / Rest,Possible Sleep,False,,71.22
149,18:45:11,Wake / Active,Quiet / Rest,False,,70.71
150,18:46:32,Wake / Active,Wake / Active,True,,70.92
151,18:48:08,Wake / Active,Wake / Active,True,,71.13
152,18:49:18,Wake / Active,Quiet / Rest,False,,70.63
153,18:50:57,Wake / Active,Quiet / Rest,False,0.6567,70.14
154,18:52:55,Quiet / Rest,Quiet / Rest,True,,70.34
155,18:54:02,Possible Sleep,Possible Sleep,True,,70.55
156,18:56:43,Wake / Active,Possible Sleep,False,,70.07
157,18:57:47,Quiet / Rest,Quiet / Rest,True,0.7711,70.27
158,18:58:54,Quiet / Rest,Quiet / Rest,True,,70.47
159,18:59:59,Quiet / Rest,Quiet / Rest,True,,70.67
160,19:01:04,Wake / Active,Wake / Active,True,,70.86
161,19:02:16,Quiet / Rest,Quiet / Rest,True,0.8067,71.05
162,19:03:17,Wake / Active,Wake / Active,True,,71.24
163,19:04:20,Wake / Active,Quiet / Rest,False,,70.78
164,19:05:29,Quiet / Rest,Quiet / Rest,True,,70.97
165,19:06:34,Quiet / Rest,Quiet / Rest,True,,71.15
166,19:07:47,Quiet / Rest,Quiet / Rest,True,,71.34
167,19:09:28,Possible Sleep,Quiet / Rest,False,,70.89
168,19:12:19,Quiet / Rest,Possible Sleep,False,0.657,70.44
169,19:14:23,Quiet / Rest,Quiet / Rest,True,0.9367,70.62
170,19:15:28,Quiet / Rest,Wake / Active,False,,70.19
171,19:16:34,Wake / Active,Wake / Active,True,,70.37
172,19:17:39,Wake / Active,Wake / Active,True,,70.55
173,19:18:52,Wake / Active,Quiet / Rest,False,,70.12
174,19:20:21,Quiet / Rest,Wake / Active,False,,69.7
175,19:21:24,Quiet / Rest,Wake / Active,False,,69.28
176,19:22:30,Wake / Active,Wake / Active,True,,69.46
177,19:23:35,Wake / Active,Quiet / Rest,False,,69.05
178,19:24:41,Wake / Active,Wake / Active,True,,69.23
179,19:25:59,Wake / Active,Wake / Active,True,,69.41
180,19:27:02,Wake / Active,Wake / Active,True,,69.59
181,19:28:08,Quiet / Rest,Quiet / Rest,True,,69.77
182,19:30:03,Wake / Active,Quiet / Rest,False,,69.36
183,19:31:43,Quiet / Rest,Wake / Active,False,,68.97
184,19:33:26,Wake / Active,Quiet / Rest,False,,68.57
185,19:34:45,Wake / Active,Wake / Active,True,,68.75
186,19:35:51,Wake / Active,Wake / Active,True,,68.93
187,19:37:06,Wake / Active,Wake / Active,True,,69.1
188,19:38:21,Quiet / Rest,Wake / Active,False,,68.72
189,19:39:36,Quiet / Rest,Quiet / Rest,True,,68.89
190,19:41:48,Quiet / Rest,Quiet / Rest,True,,69.06
191,19:43:35,Possible Sleep,Quiet / Rest,False,,68.68
192,19:45:01,Quiet / Rest,Possible Sleep,False,0.93,68.31
193,19:47:07,Wake / Active,Wake / Active,True,,68.48
194,19:48:10,Wake / Active,Wake / Active,True,,68.65
195,19:49:26,Wake / Active,Wake / Active,True,,68.82
196,19:50:34,Wake / Active,Quiet / Rest,False,,68.45
197,19:51:53,Quiet / Rest,Quiet / Rest,True,,68.62
198,19:54:23,Wake / Active,Wake / Active,True,0.5956,68.78
199,19:55:30,Quiet / Rest,Quiet / Rest,True,,68.95
200,19:57:10,Quiet / Rest,Quiet / Rest,True,,69.11
