window_start_frame,window_end_frame,dominant_state,total_distance_px,active_frames,inactive_frames,dominant_zone,thigmotaxis_ratio,stereotypy_flag,behavior_notes
1071000,1080000,Quiet / Rest,186.04,29,51,Center,0.0,True,
1080000,1089000,Quiet / Rest,556.33,69,189,Center,0.0271,False,
1089000,1098000,Quiet / Rest,114.57,11,50,Center,0.0,True,
1098000,1107000,Quiet / Rest,124.86,17,36,Center,0.2453,False,
1107000,1116000,Quiet / Rest,76.23,9,29,Center,0.0,True,
1116000,1125000,Quiet / Rest,228.02,31,70,Center,0.0693,True,
1125000,1134000,Quiet / Rest,87.64,4,51,Center,0.0,False,
1134000,1143000,Quiet / Rest,1573.68,113,783,Center,0.0446,True,
1143000,1152000,Wake / Active,11182.57,1854,1278,Center,0.3368,False,
1152000,1161000,Wake / Active,7466.05,1297,1325,MidRight,0.7811,True,
1161000,1170000,Quiet / Rest,5164.4,625,1154,Center,0.4654,False,
1170000,1179000,Possible Sleep,1219.21,16,942,Center,0.1242,False,
1179000,1188000,Possible Sleep,103.2,6,61,Center,0.1045,False,
1188000,1197000,Quiet / Rest,45.63,6,23,Center,0.3448,False,
1197000,1206000,Possible Sleep,66.94,0,47,MidRight,0.5106,False,
1206000,1215000,Possible Sleep,139.46,0,92,Center,0.2174,False,
1215000,1224000,Possible Sleep,71.34,0,53,Center,0.0189,False,
1224000,1233000,Possible Sleep,85.95,0,64,Center,0.0312,False,
1233000,1242000,Possible Sleep,87.3,0,69,Center,0.0725,False,
1242000,1251000,Possible Sleep,40.59,0,33,Center,0.0,False,
1251000,1260000,Quiet / Rest,74.05,2,53,Center,0.0,False,
1260000,1269000,Possible Sleep,333.72,1,283,Center,0.0176,False,
1269000,1278000,Wake / Active,6682.13,1019,1029,Center,0.3794,False,
1278000,1287000,Wake / Active,11192.47,1840,1619,Center,0.3793,False,
1287000,1296000,Wake / Active,7911.51,1274,1133,Center,0.3943,False,
1296000,1305000,Wake / Active,11543.79,2343,1011,MidRight,0.6115,True,
1305000,1314000,Wake / Active,9941.27,1917,1562,MidRight,0.7677,True,
1314000,1323000,Wake / Active,10432.65,1765,1351,MidLeft,0.8245,False,
1323000,1332000,Wake / Active,8995.72,1958,1045,MidLeft,0.9124,True,
1332000,1341000,Quiet / Rest,7385.16,673,2921,MidRight,0.9894,False,
1341000,1350000,Quiet / Rest,3871.37,438,1288,MidRight,0.5904,True,
1350000,1359000,Quiet / Rest,107.77,3,64,Center,0.0,False,
1359000,1368000,Quiet / Rest,90.09,1,55,Center,0.0,False,
1368000,1377000,Quiet / Rest,79.45,10,28,Center,0.0,True,
1377000,1386000,Quiet / Rest,72.11,0,47,Center,0.0,False,
1386000,1395000,Quiet / Rest,28.08,3,9,Center,0.0,True,
1395000,1404000,Quiet / Rest,4525.06,525,1210,Center,0.2006,False,
1404000,1413000,Possible Sleep,827.9,20,500,Center,0.0769,False,
1413000,1422000,Wake / Active,32.7,10,4,MidRight,0.7143,False,
1422000,1431000,Wake / Active,114.73,24,15,Center,0.4615,False,
1431000,1440000,Quiet / Rest,217.12,33,57,Center,0.1778,False,
1440000,1449000,Quiet / Rest,3919.46,374,1275,Center,0.2474,False,
1449000,1458000,Wake / Active,10348.34,1937,770,MidLeft,0.6561,False,
1458000,1467000,Quiet / Rest,7668.3,1245,1722,MidRight,0.8911,False,
1467000,1476000,Wake / Active,8307.24,1613,1417,MidRight,0.8485,True,
1476000,1485000,Wake / Active,9930.87,1927,1232,Center,0.2159,False,
1485000,1494000,Wake / Active,10990.26,1969,1088,Center,0.5152,False,
1494000,1503000,Quiet / Rest,7600.52,1138,1483,Center,0.3216,False,
1503000,1512000,Wake / Active,11475.75,2383,975,MidLeft,0.8648,True,
1512000,1521000,Quiet / Rest,8543.64,1259,1445,Center,0.3499,False,
1521000,1530000,Quiet / Rest,4100.13,548,1352,Center,0.0611,True,
